"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_peakSummer","trees_presence","spectral_EVI2b_annualRange","spectral_EVI2b_changeSSES","spectral_NDWI_annualMedian","spectral_NDWI_annualMean","site_code","presence_absence","zone_3_High.Arctic","zone_3_Sub.Arctic","zone_3_Low.Arctic","zone_3_Oro.Arctic","zone_3_other"
430.253830305569,107.535018997083,168.479754658328,474.47592187016,-349.25292396385,-170.501092591057,-1548.46504531644,-1867.30176055308,-1769.07812220631,0,823.72884583401,22.2716215505548,-1867.30176055308,-1867.50131073749,"nonveg_871","absence",0,0,1,0,0
1619.54742313121,323.903236683945,1013.61472609337,882.943851114435,1890.28504628504,3479.32521290134,-3172.2658541314,-2539.24491060661,-3854.35652144363,0,1566.38180960109,-27.0737623153825,-2972.92927338714,-3072.79630339772,"nonveg_1132","absence",0,0,0,1,0
577.230294101974,1659.99749742248,456.188223830006,1354.86458443844,165.731932444574,403.919623631289,-2634.69728254214,-1492.89351540634,-2107.92506578835,0,1494.2655649779,7.76412003127169,-2107.92506578835,-1978.05680000373,"nonveg_619","absence",0,0,0,1,0
3360.48702177795,3398.47944805104,4256.11057877397,4562.89598409097,1572.95724238275,3422.43102416324,-5984.02423158863,-5658.22841940334,-6779.15571271022,1,3041.97715514088,80.3793655934119,-6169.74789986679,-5936.14150446227,"Sweden.Abisko.KJ-SalixShrub","presence",0,0,0,1,0
286.61204300399,381.698460240099,827.601779549661,103.106292442582,223.27762018443,516.232812864402,-1601.82476428778,-2125.7282119229,-2706.12871695678,0,724.495487107079,1.97920071311125,-1601.82476428778,-1848.33056617217,"nonveg_935","absence",0,0,0,1,0
92.0247547749834,1230.44613615225,1212.92977525098,608.986075437702,660.330858020338,1040.00869110052,-2813.81580230857,-1558.71401088272,-2515.94428313033,0,1138.42138137727,-22.7322441298142,-1759.69017769361,-2054.19697136819,"nonveg_628","absence",1,0,0,0,0
2435.7729682227,2334.80376134185,3776.09478389121,3220.34207454802,1775.80136685701,2935.42461452532,-5462.80883565915,-5625.37152169272,-6739.08523955443,0,2610.43332174701,30.6945263932044,-5416.34002954886,-5462.7307077049,"Canada.DeceptionBay.BEGL1","presence",0,0,1,0,0
2219.01688292378,1519.18172503521,2742.81966702551,3700.37529599219,1090.35013421342,2336.81602111131,-5076.30516276739,-3225.92799997512,-6436.6427930605,1,2472.23716951592,31.7029362086906,-4852.50601561963,-4692.58370291733,"Canada.KluaneLake.Quill-ShrubTundra","presence",0,0,0,1,0
2839.94753740623,2590.27555319027,3140.0205692271,3342.92832537118,1976.12739474608,3758.18509759594,-5400.64885227403,-5412.9215174003,-6055.90383952095,0,1890.97372472883,19.8361912149785,-5429.46994021948,-5446.98821185718,"USA.NorthSlope.Sagwon-C19","presence",0,0,1,0,0
674.546332272874,383.435216329664,706.36125195712,695.789724429479,-295.151052584164,156.692602667223,-1996.44450201094,-2360.58056762496,-2327.29942360177,0,1001.51230454128,40.4040577023766,-2327.29942360177,-2306.47796541417,"nonveg_913","absence",1,0,0,0,0
2674.54686275329,2747.08781469619,3010.82186094295,3119.23350168028,1899.03397782202,4048.08523619089,-5425.8966881896,-5909.86892657203,-6250.465939622,0,1675.28569159834,27.8110634494426,-6280.31988614046,-6132.99309404612,"Norway.Javrresduottar.EC-Betula","presence",0,1,0,0,0
-769.133509449247,-66.2151563739239,907.785345724313,243.635697900486,-4.63224149276198,78.979865484427,-2559.63375268457,-1573.97064972847,-1874.93738063967,0,1676.91885517356,-22.4853314104848,-1573.97064972847,-1475.99667275962,"nonveg_923","absence",0,0,1,0,0
565.815605470621,716.150625352539,654.016725903062,443.439065886349,278.451758973536,450.158684141481,-1244.94896549197,-1120.92287856953,-1816.06187839348,0,437.698866379002,7.56220648676539,-1244.94896549197,-1152.99592767037,"nonveg_779","absence",0,0,1,0,0
