"spectral_EVI2b_endSnowfree","spectral_EVI2b_startSnowfree","spectral_NDWI_endSnowfree","spectral_NDWI_peakSummer","spectral_red_peakSummer","trees_presence","spectral_EVI2b_changeLSES","spectral_NDWI_annualMedian","site_code","presence_absence"
1622.38793541197,1363.40361703464,-4011.80975432595,-3696.96927536164,936.825042960953,0,-1.9948418204049,-3846.35745339785,"Finland.Kevo.3","presence"
1064.21017379842,777.487989604262,-1601.64970544553,-2397.93504051896,2099.44065410643,0,36.647411307605,-2397.93504051896,"nonveg_915","absence"
3561.25934181905,1867.42485754066,-5132.77133464676,-6327.98090313641,500.837471154633,0,49.2786951796517,-4612.30693910113,"Sweden.Abisko.KJ-Snowbed","presence"
-1024.32851351656,-1694.10141672484,7754.20445281952,7388.05742142699,378.656969132807,0,-20.6496077508206,7754.20445281952,"nonveg_1797","absence"
1988.87459913819,1528.38244430011,-4808.12862126328,-4827.96927216593,765.383813314362,0,-10.1053655607297,-4771.29542795792,"Canada.BonifaceRiver.LSA4","presence"
2651.56712470297,1894.65788809582,-6292.83775337954,-6098.4438191119,674.413141094659,0,-85.6573670769475,-5982.6778822219,"Russia.Kytalyk.T2","presence"
859.718542406232,731.637398628872,-1518.19140668702,-1923.25344191994,2185.76189275884,0,-144.552878505921,-1732.99954280155,"nonveg_801","absence"
1751.9828576127,1459.61089679538,-4551.4283193302,-5246.56702725374,736.679158745646,0,-12.7197512866378,-4169.59348301865,"USA.NorthSlope.9","absence"
2741.43818855065,1879.43408641612,-5915.00181609609,-6500.01223559192,540.016743032767,1,-37.734112013586,-6142.62799113611,"Canada.CoutureLake.TDA7","presence"
52.6925694529618,-1012.78451462069,10000,9744.95306107802,986.460817438399,0,-8.70513066920388,10000,"nonveg_1236","absence"
3005.86444717564,2122.90797360185,-5874.78032091709,-6384.65102994379,502.338439369058,0,-18.1341328117084,-5541.97235875803,"Sweden.Abisko.NT-DryHeath","presence"
738.258976376936,852.678475130704,-2410.95385112826,-1377.59062377407,1917.86799224854,0,-7.92500017485772,-2098.45469152984,"nonveg_863","absence"
1853.73613270097,1432.39849047966,-4440.2347690562,-4941.02270857626,921.759749284975,0,-78.6054450924533,-4277.56965500669,"Canada.BanksIsland.GreenCabin-C10","presence"
3689.35055922369,2389.35511560864,-6119.64160193846,-7071.54851235302,449.328053732477,1,-72.2115070103194,-6503.81713777657,"Sweden.Abisko.NT-MesicHeath","presence"
2939.94747532591,2781.12527049874,-5288.5960176158,-6334.76340577274,597.540559268442,0,-60.284783776939,-5686.25046141415,"Russia.Tazovsky.Burned28","presence"
3712.60728200002,2268.9649399417,-6386.18236662231,-7438.77747829528,362.758593696276,0,-50.1543472007703,-8094.55550743198,"Canada.ClearwaterLake.AB1","presence"
965.407643681424,1190.07174796188,-4005.1547105043,-4636.25665556246,1050.815549344,0,-53.4651169612512,-3167.49157006789,"Canada.KluaneLake.Gladstone-MixedTundra","presence"
738.258976376936,852.678475130704,-2410.95385112826,-1377.59062377407,1917.86799224854,0,-7.92500017485772,-2098.45469152984,"nonveg_863","absence"
2401.22720103608,1686.15543330996,-6081.24525794759,-6690.23236374627,497.206392656357,0,-30.7198326577129,-5436.89951428291,"USA.SewardPeninsula.19","presence"
2083.81986506826,881.923442206546,-4595.363603027,-4954.64598044397,827.898393301422,0,6.62120295998189,-4600.61814003383,"USA.NorthSlope.Deadhorse-C16","presence"
718.647931842707,-410.323454232274,-319.436103260501,-1121.74869149954,1015.98002313423,0,17.645320980307,-1121.74869149954,"nonveg_794","absence"
780.454181835366,686.247819399926,-1262.00739144999,-1277.35731220549,2064.53605896754,0,94.7174740975595,-1277.35731220549,"nonveg_866","absence"
492.823902323269,1212.9089428174,-1548.29746957666,-1534.07180801252,1338.51914347176,0,116.60247844378,-1534.07180801252,"nonveg_897","absence"
1072.56570235481,39.0864561636562,-1198.4829948655,-2649.57672917852,2343.04393520585,0,54.2559673675078,-1889.04644632342,"nonveg_688","absence"
3552.4065723419,2256.25674100727,-5760.06798172165,-6621.65724708712,615.894606516624,0,-36.7589460763972,-5319.68762575784,"Norway.Javrresduottar.A-Betula","presence"
