dataset_id,citation_short,site_code,bioclim_zone,mat_degC,gdd_degC,map_mm,latitude,longitude
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.391,Oroarctic,-1.74999999999994,1045.8,726,69.065793,20.809182
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.403,Oroarctic,-2.14999999999998,989.9,740.7,69.05339,20.813885
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.409,Oroarctic,-2.14999999999998,989.9,740.7,69.0560225,20.813232
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.415,Oroarctic,-2.14999999999998,989.9,740.7,69.0587185,20.8123995
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.421,Oroarctic,-1.24999999999994,1150.6,687.5,69.0613815,20.8117035
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.427,Oroarctic,-1.74999999999994,1045.8,726,69.0640265,20.810926
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.433,Oroarctic,-1.74999999999994,1045.8,726,69.066753,20.810102
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.439,Oroarctic,-1.74999999999994,1045.8,726,69.069359,20.809406
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.445,Oroarctic,-2.14999999999998,989.9,740.7,69.0543115,20.814823
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.451,Oroarctic,-2.14999999999998,989.9,740.7,69.056935,20.814177
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.457,Oroarctic,-2.14999999999998,989.9,740.7,69.059622,20.813387
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.469,Oroarctic,-1.74999999999994,1045.8,726,69.064997,20.811939
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.475,Oroarctic,-1.74999999999994,1045.8,726,69.067631,20.811078
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.481,Oroarctic,-2.14999999999998,989.9,740.7,69.052566,20.8167215
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.487,Oroarctic,-2.14999999999998,989.9,740.7,69.0551635,20.8159245
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.493,Oroarctic,-2.14999999999998,989.9,740.7,69.0578575,20.81509
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.499,Oroarctic,-2.14999999999998,989.9,740.7,69.0605265,20.8143865
